ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,204.8904554713363,20791.318980747026,7.300211873184757,368.51644134980336,564.3086541722439,10.3797830780847,86.9909704615088,2.9631353806316407,0
3.71608007538699,129.42292051494425,18630.057857970347,6.635245883862,,592.8853591348523,15.180013116357259,56.32907628451764,4.500656274942408,0
8.099124189298397,224.23625939355776,19909.541732292393,9.275883602694089,,418.6062130644815,16.868636929550973,66.42009251176368,3.0559337496641685,0
10.223862164528773,248.07173527013992,28749.716543528233,7.5134084658313025,393.66339551509645,283.6516335078445,13.789695317519886,84.60355617402357,2.672988736934779,0
8.635848718500734,203.36152258457054,13672.091763901635,4.563008685599703,303.3097711592812,474.60764494244853,12.36381669870525,62.798308962925155,4.401424715445482,0
,118.98857909025189,14285.583854224515,7.804173553073094,268.646940746221,389.3755658712614,12.70604896865791,53.928845767512236,3.5950171809576155,0
11.180284470721592,227.23146923797458,25484.50849098786,9.077200016914393,404.04163468408996,563.8854814810949,17.92780641128502,71.97660103221915,4.370561936655497,0
7.119824384264552,156.70499334039215,18730.813653342713,3.6060360905057203,282.3440504739606,347.71502726194376,15.929535908825699,79.5007783369744,3.445756223321899,0
,150.1749233951362,27331.361961927756,6.838223470687509,299.41578134685847,379.76183482577244,19.370807181232124,76.5099955279583,4.413974182974902,0
7.49623220797336,205.34498215818513,28388.00488673697,5.072557773840631,,444.6453523327066,13.228311099224527,70.30021264692436,4.777382337225378,0
7.051785800016845,211.04940606054578,30980.600786788862,10.094796011661426,,315.1412672443021,20.39702184072246,56.65160378979331,4.268428857506186,0
9.181560007151536,273.81380665980095,24041.32628006128,6.904989726470096,398.3505168222779,477.9746418621779,13.387340780225543,71.4573622129516,4.503660796179122,0
8.975464347533963,279.35716677009236,19460.398131232112,6.204320858892474,,431.44398999034894,12.88875905430399,63.82123709666397,2.4360855903052734,0
,215.97785868806778,17107.224225827616,5.607060453087125,326.943977743867,436.25619397264916,14.189062206123708,59.85547582615388,5.459250956028731,0
3.902475685915096,196.9032467083208,21167.500098968772,6.996311586298768,,444.47888250689795,16.609033155789916,90.1816758847452,4.528522696326911,0
